id,text
0,"Marketside Roasted Red Pepper Hummus, 10 Oz"
1,"Marketside Roasted Garlic Hummus, 10 Oz"
2,"Marketside Classic Hummus, 10 Oz"
3,"Marketside Everything Hummus, 10 oz"
4,"Price's Jalapeno Dip, 12 Oz."
5,"Price's Green Chili Dip, 12 Oz."
6,"Dean's, French Onion Dip, 16 oz Tub"
7,"Marketside Spinach & Artichoke Dip, 16 Oz"
8,Fresh Cravings Roasted Red Pepper Hummus 10oz
9,"Marketside Buffalo Style Chicken Dip, 11 oz"
10,"Marketside Spicy Hummus, 10 oz"
11,"Marketside Pine Nut Hummus, 10 oz"
12,"Marketside Cantina Style Salsa, 16 oz"
13,Fresh Cravings Everything Bagel Hummus 10oz
14,Fresh Cravings Roasted Garlic Hummus 10 oz
15,Fresh Cravings Honey Jalapeno Hummus 10oz
16,Fresh Cravings Classic Hummus 10oz
17,"Freshness Guaranteed Guacamole, Mild, 8 oz"
18,"Tabla Fresca Farmstand Fresh Mild Salsa, 16 oz"
19,Fresh Cravings Spicy Red Pepper Hummus 10oz
20,"Gordo's Original Queso Cheese Dip, 16 oz Tub Brand/ Product Line=Gordo's Count per pack=this item is single, none to list Food Condition=must be refrigerated"
21,"Great Value French Onion Dip, 16 oz Tub"
22,"Marketside Bacon Ranch Cheddar Dip, 16 oz"
23,"Marketside Spinach Dip, 16 Oz"
24,"Tabla Fresca Farmstand Cilantro Salsa, 32 Oz"
25,"Marketside Tzatziki Style Dip, 16 oz"
26,"Price's Grade A Red And Green Chile Sour Cream Dip, 12 Oz."
27,"Marketside Sweet Heat Mango Peach Salsa, 16 Ounce"
28,"Marketside Jalapeno Artichoke Dip, 16 oz"
29,Julio's Mild Sauce 16oz
30,"Texas Pete Blazin Buffalo Chicken Dip, 12 oz."
31,"Giovanni Rana Homestyle Sauce Alfredo Premium Pasta Topping Jar (Family Size, 15oz)"
32,"Marketside Gouda Bacon Green Chile Dip, 12 oz"
33,"Freshness Guaranteed Chunky Avocado, 8 Oz (Fresh)"
34,"Marketside Mild Queso Blanco Dip, 16 oz"
35,"Freshness Guaranteed Spicy Guacamole Mini Cups, 2 Oz, 6 Count (Fresh)"
36,"WHOLLY Guacamole Classic Mini Single Serve Cups, Mild, 2 Oz (6-Pack)"
37,Rojo's Classic 5 Layer Dip 28oz
38,"Marketside Spinach Dip, 24 oz"
39,"Marketside Smokehouse Burnt Ends Dip, 12 oz"
47,"Texas Pete Southwestern Sausage & Cheese Dip, 12 oz."
48,Julio's Hot Sauce 16oz
